,territorio,anno,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,area,codice_istat
31,Lazio,2019,12.58333333333333,517.0,5.5,11.8,70.2,23.9,0.5,9.4,0.2012728832592118,25.3413589941191,26.3,3.28,32.2,39.3,11.6,19.3,70.5,38.6,27.1,35040.3514076053,67.0,57.4,43.6,8.8,15.440451187984,27.1,33.4,78.8,40.2,31.4,Centro,12
32,Lazio,2020,12.58333333333333,490.0,7.5,12.3,72.2,23.9,0.5,6.7,0.13478028959566923,29.229261348080822,20.5,3.23,32.2,39.3,12.2,19.9,71.1,35.9,26.9,32359.57196221487,66.9,60.8,45.5,7.9,16.4628731078706,26.9,29.1,78.7,40.2,31.4,Centro,12
33,Lazio,2021,12.58333333333333,490.0,7.3,12.4,74.8,23.9,0.5,6.8,0.5069666512267156,28.43721528013134,20.5,3.23,35.5,43.9,9.2,19.9,71.3,12.3,27.0,34548.96564219061,65.7,60.2,37.7,10.7,15.7749534484399,27.0,29.1,84.3,40.2,31.4,Centro,12
34,Lazio,2022,12.58333333333333,490.0,7.3,12.4,74.8,23.9,0.5,6.8,0.5069666512267156,28.43721528013134,20.5,3.23,36.1,43.5,9.2,19.9,71.3,12.3,27.0,34548.96564219061,65.7,60.2,37.7,10.7,15.7749534484399,27.0,29.1,84.3,27.27272727272727,31.4,Centro,12
35,Liguria,2018,12.97508446762826,541.0,3.1,3.2,65.6,18.1,0.5,10.7,0.40843107939961454,20.25392528936883,15.3,2.67,31.9,36.4,12.8,27.3,67.3,35.7,26.5,32153.158895466077,67.3,56.8,39.6,9.5,15.3232737348801,26.5,25.5,83.7,25.0,16.1,Nord-ovest,7
36,Liguria,2019,12.14285714285714,538.0,4.8,3.3,63.1,22.0,0.5,9.1,0.3764370484323907,20.252927175245837,18.1,2.79,32.4,35.0,9.7,26.6,68.9,36.4,26.7,32858.291606383675,67.1,58.4,40.9,10.3,14.049301646281,26.7,22.5,83.3,25.0,16.1,Nord-ovest,7
37,Liguria,2020,12.14285714285714,520.0,5.9,3.1,63.8,22.0,0.6,5.5,0.5061327472316121,26.85285059569421,18.6,2.73,32.4,35.0,10.0,22.8,69.4,32.4,26.5,29886.30194979299,66.2,59.8,36.8,9.3,13.463432345217,26.5,26.7,76.1,25.0,19.4,Nord-ovest,7
38,Liguria,2021,12.14285714285714,520.0,8.6,5.3,71.2,22.0,0.6,5.7,0.508477269477063,33.52089403390758,18.6,2.73,37.5,42.2,12.9,22.8,69.0,7.5,26.5,32209.002483651497,67.8,62.9,33.2,11.6,14.7597889792725,26.5,26.7,70.8,25.0,19.4,Nord-ovest,7
39,Liguria,2022,12.14285714285714,520.0,8.6,5.3,71.2,22.0,0.6,5.7,0.508477269477063,33.52089403390758,18.6,2.73,38.6,42.7,12.9,22.8,69.0,7.5,26.5,32209.002483651497,67.8,62.9,33.2,11.6,14.7597889792725,26.5,26.7,70.8,26.666666666666668,19.4,Nord-ovest,7
40,Lombardia,2018,21.32356286726164,481.0,4.1,3.0,72.5,24.2,0.4,14.1,0.22103268355033487,16.569047205076938,18.3,2.61,27.2,29.4,13.1,22.8,65.1,39.6,23.3,39552.491021402144,67.4,58.0,39.9,9.5,15.9339813078905,23.3,25.6,79.8,29.8,24.7,Nord-ovest,3
41,Lombardia,2019,19.76666666666667,483.0,4.9,3.0,71.7,26.6,0.4,11.7,0.23474502142488468,20.49078484158211,19.1,2.59,29.1,30.3,11.3,23.2,64.6,38.6,23.6,39902.70880190035,67.0,58.6,40.0,9.7,15.7078268820812,23.6,26.5,83.9,29.8,24.7,Nord-ovest,3
42,Lombardia,2020,19.76666666666667,468.0,4.4,2.8,70.5,26.6,0.4,6.9,0.19607818146898442,17.27706448196849,21.9,2.52,29.1,30.3,13.1,20.1,65.0,35.2,23.6,37467.12109610675,65.2,59.7,39.0,7.9,14.9106183338043,23.6,28.7,82.5,29.8,24.7,Nord-ovest,3
43,Lombardia,2021,19.76666666666667,468.0,4.3,2.5,73.4,26.6,0.4,8.1,0.39356110419864765,19.06453320900288,21.9,2.52,33.6,36.6,11.3,20.1,64.9,9.3,24.1,40679.632642636316,65.5,59.9,36.6,10.6,13.9126093853519,24.1,28.7,77.3,29.8,24.7,Nord-ovest,3
44,Lombardia,2022,19.76666666666667,468.0,4.3,2.5,73.4,26.6,0.4,8.1,0.39356110419864765,19.06453320900288,21.9,2.52,32.9,34.7,11.3,20.1,64.9,9.3,24.1,40679.632642636316,65.5,59.9,36.6,10.6,13.9126093853519,24.1,28.7,77.3,28.865979381443296,24.7,Nord-ovest,3
45,Marche,2018,12.54492635792983,532.0,5.2,4.0,67.9,21.2,0.6,11.0,0.12653388060642629,19.39244635628386,20.2,2.36,27.5,30.1,9.7,22.8,64.8,31.6,27.2,27557.569125582617,64.9,59.2,31.9,8.9,16.4142977641269,27.2,28.3,83.4,37.5,19.4,Centro,11
46,Marche,2019,12.45454545454546,525.0,5.6,5.8,67.8,21.5,0.3,9.6,0.1283520748754664,24.38370662284136,23.6,2.39,28.3,29.3,8.5,23.7,65.4,34.2,27.4,28134.531175074182,66.4,57.6,35.5,8.2,14.8227855448157,27.4,28.0,95.5,37.5,19.4,Centro,11
47,Marche,2020,12.45454545454546,500.0,5.2,4.1,67.4,21.5,0.6,6.3,0.38763421026959316,22.834773170881146,24.7,2.38,28.3,29.3,9.2,20.3,65.2,27.4,27.4,26119.238427764863,65.5,61.2,40.1,6.7,15.3315238478668,27.4,33.4,90.9,37.5,29.0,Centro,11
48,Marche,2021,12.45454545454546,500.0,5.8,4.4,67.7,21.5,0.6,5.0,0.13049668342679072,9.272044627525645,24.7,2.38,31.7,35.3,7.9,20.3,66.0,7.2,27.6,28331.806065035198,62.2,57.2,36.7,11.4,16.0287021524054,27.6,33.4,84.6,37.5,29.0,Centro,11
49,Marche,2022,12.45454545454546,500.0,5.8,4.4,67.7,21.5,0.6,5.0,0.13049668342679072,9.272044627525645,24.7,2.38,32.5,34.3,7.9,20.3,66.0,7.2,27.6,28331.806065035198,62.2,57.2,36.7,11.4,16.0287021524054,27.6,33.4,84.6,26.666666666666668,29.0,Centro,11
50,Molise,2018,,382.0,2.0,17.8,55.4,15.6,0.0,7.0,,26.929286406199548,31.8,2.06,33.3,41.0,10.2,7.7,62.1,25.1,32.9,20842.961087811273,64.0,55.5,33.6,8.5,22.8016327293772,32.9,21.6,86.6,40.0,28.6,Sud,14
51,Molise,2019,13.66666666666667,368.0,7.9,12.2,58.0,18.9,0.0,6.3,,48.065110565110565,33.5,2.15,34.1,43.4,10.7,8.1,62.4,24.2,32.9,21467.70776637988,64.5,54.4,31.2,8.8,22.7703931902834,32.9,27.6,81.7,40.0,28.6,Sud,14
52,Molise,2020,13.66666666666667,367.0,7.0,15.4,60.5,18.9,0.0,3.4,,46.141215106732346,31.9,1.95,34.1,43.4,9.2,5.2,62.8,21.3,32.6,20321.565003362477,65.1,56.9,31.5,8.0,21.6166901748394,32.6,31.3,81.3,40.0,28.6,Sud,14
