territorio,anno,area,codice_istat,Generale,Contesto,Bambini,Donne,Contesto|Ambiente,Contesto|Abitazione,Contesto|Evoluzione digitale,Contesto|Sicurezza e protezione,Contesto|Violenza contro donne e bambini,Bambini|Salute,Bambini|Istruzione,Bambini|Povertà educativa,Bambini|Capitale umano,Bambini|Capitale economico,Donne|Salute,Donne|Educazione,Donne|Opportunità economiche,Donne|Conciliazione vita-lavoro,Donne|Partecipazione politica,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Emilia-Romagna,2019,Nord-est,8,61.6,60.8,63.5,60.5,34.0,95.9,76.3,48.4,69.0,51.1,67.6,52.0,85.5,67.0,54.8,76.0,36.3,81.6,65.6,16.41666666666667,664.0,4.8,3.3,68.4,25.0,0.5,14.8,0.3930007440814088,17.354669647363423,23.5,2.94,31.7,33.1,11.1,33.2,69.1,40.8,25.1,36544.041467793264,66.0,58.9,40.5,11.3,12.5003117066411,25.1,40.1,82.2,35.8,36.0
Emilia-Romagna,2020,Nord-est,8,63.3,68.8,61.7,59.8,37.4,96.9,77.4,65.0,84.8,50.3,67.6,52.3,78.6,63.7,62.7,71.0,34.8,80.6,61.3,16.41666666666667,639.0,3.1,3.1,70.6,25.0,0.3,10.3,0.13128312847695162,10.941643417987287,24.4,2.95,31.7,33.1,10.1,31.1,68.9,33.8,25.1,34201.12803639223,67.8,63.0,40.6,9.7,13.347143462405,25.1,40.7,79.0,35.8,32.0
Emilia-Romagna,2021,Nord-est,8,61.2,65.9,57.6,60.3,37.4,96.7,78.6,65.7,66.6,50.3,64.0,52.8,55.3,67.4,56.0,82.5,34.5,81.6,61.3,16.41666666666667,639.0,3.0,3.6,73.0,25.0,0.3,10.0,0.6166651103213883,10.949610569568389,24.4,2.95,34.5,37.6,9.9,31.1,68.7,9.8,25.3,36913.46292754997,66.3,59.5,41.3,13.1,13.7211895939976,25.3,40.7,81.0,35.8,32.0
Emilia-Romagna,2022,Nord-est,8,62.2,65.9,57.6,63.5,37.4,96.7,78.6,65.7,66.6,50.3,64.2,52.8,55.3,67.4,56.0,82.5,34.5,81.6,79.2,16.41666666666667,639.0,3.0,3.6,73.0,25.0,0.3,10.0,0.6166651103213883,10.949610569568389,24.4,2.95,34.8,36.9,9.9,31.1,68.7,9.8,25.3,36913.46292754997,66.3,59.5,41.3,13.1,13.7211895939976,25.3,40.7,81.0,48.837209302325576,32.0
Friuli-Venezia Giulia,2018,Nord-est,6,61.9,69.8,61.2,55.5,63.8,97.8,71.5,53.0,70.2,38.9,73.8,60.5,84.3,58.5,53.8,78.8,40.6,73.6,41.4,14.00213735425535,492.0,3.2,1.2,67.7,22.4,0.7,10.2,0.425146795216886,14.39418507128879,24.0,2.51,25.6,26.7,8.9,38.0,68.6,39.9,28.6,31765.24548893294,66.0,58.3,39.2,12.6,13.3571809822789,28.6,32.6,81.3,35.0,14.3
Friuli-Venezia Giulia,2019,Nord-est,6,63.7,76.3,61.6,54.9,66.3,97.8,77.3,68.6,75.4,40.5,71.6,61.5,83.8,59.5,60.4,75.6,36.2,73.0,41.4,12.75,499.0,1.8,2.7,67.8,25.8,0.3,8.7,0.425146795216886,7.991379017751078,22.9,2.52,28.3,28.5,8.7,38.6,70.1,38.4,28.7,32530.139267566006,68.0,61.6,37.6,12.1,15.9131865282222,28.7,33.7,77.9,35.0,14.3
Friuli-Venezia Giulia,2020,Nord-est,6,63.6,77.5,60.2,55.1,66.7,97.8,80.2,80.5,66.2,42.0,71.6,56.2,82.6,56.7,64.9,70.8,35.6,74.8,41.4,12.75,496.0,2.5,1.8,73.6,25.8,0.2,5.0,0.3238945075588881,23.944793549682934,21.0,2.49,28.3,28.5,8.8,32.5,71.2,36.4,28.4,30412.88575213888,68.9,64.0,41.3,9.4,15.9841393515114,28.4,34.8,79.2,35.0,14.3
Friuli-Venezia Giulia,2021,Nord-est,6,62.2,78.8,55.9,54.7,66.7,97.3,78.7,79.8,74.5,42.0,66.5,56.6,57.7,59.7,55.4,77.2,39.1,71.0,41.4,12.75,496.0,2.3,3.0,70.5,25.8,0.2,5.3,0.3238945075588881,13.77769524494841,21.0,2.49,32.0,35.0,8.6,32.5,70.6,10.9,28.6,32638.4086979384,65.8,59.3,37.0,12.8,14.2018219978323,28.6,34.8,71.6,35.0,14.3
Friuli-Venezia Giulia,2022,Nord-est,6,64.0,78.8,56.0,59.3,66.7,97.3,78.7,79.8,74.5,42.0,67.2,56.6,57.7,59.7,55.4,77.2,39.1,71.0,62.0,12.75,496.0,2.3,3.0,70.5,25.8,0.2,5.3,0.3238945075588881,13.77769524494841,21.0,2.49,32.1,33.5,8.6,32.5,70.6,10.9,28.6,32638.4086979384,65.8,59.3,37.0,12.8,14.2018219978323,28.6,34.8,71.6,50.0,14.3
Lazio,2018,Centro,12,62.3,70.4,60.8,56.5,62.9,89.0,72.5,61.9,68.8,56.0,65.2,42.2,85.3,63.1,53.9,65.0,34.2,72.2,66.7,12.76834765639359,524.0,7.7,14.4,67.9,22.9,0.4,10.2,0.12029114832117299,31.200157810275797,26.4,3.25,31.2,38.4,11.0,21.1,70.1,39.9,27.1,34514.44034067685,66.6,58.2,39.0,8.3,15.5849889973545,27.1,31.4,81.0,40.2,31.4
Lazio,2019,Centro,12,62.8,71.6,60.0,57.7,64.3,91.3,75.3,60.5,70.0,57.0,64.2,39.5,84.3,63.9,52.7,71.2,34.4,74.1,66.7,12.58333333333333,517.0,5.5,11.8,70.2,23.9,0.5,9.4,0.2012728832592118,25.3413589941191,26.3,3.28,32.2,39.3,11.6,19.3,70.5,38.6,27.1,35040.3514076053,67.0,57.4,43.6,8.8,15.440451187984,27.1,34.3,78.8,40.2,31.4
Lazio,2020,Centro,12,63.5,73.7,59.9,58.1,68.0,90.1,76.3,66.5,69.8,62.6,64.2,38.7,82.1,60.2,58.5,70.2,32.3,75.0,66.7,12.58333333333333,490.0,7.5,12.3,72.2,23.9,0.5,6.7,0.13478028959566923,29.229261348080822,20.5,3.23,32.2,39.3,12.2,19.9,71.1,35.9,26.9,32359.57196221487,66.9,60.8,45.5,7.9,16.4628731078706,26.9,35.3,78.7,40.2,31.4
Lazio,2021,Centro,12,62.2,70.7,57.7,58.9,68.0,90.2,77.6,66.3,55.9,62.6,60.3,45.0,59.5,63.2,56.9,71.3,33.7,77.8,66.7,12.58333333333333,490.0,7.3,12.4,74.8,23.9,0.5,6.8,0.5069666512267156,28.43721528013134,20.5,3.23,35.5,43.9,9.2,19.9,71.3,12.3,27.0,34548.96564219061,65.7,60.2,37.7,10.7,15.7749534484399,27.0,35.3,84.3,40.2,31.4
Lazio,2022,Centro,12,60.9,70.7,57.7,55.4,68.0,90.2,77.6,66.3,55.9,62.6,60.2,45.0,59.5,63.2,56.9,71.3,33.7,77.8,49.0,12.58333333333333,490.0,7.3,12.4,74.8,23.9,0.5,6.8,0.5069666512267156,28.43721528013134,20.5,3.23,36.1,43.5,9.2,19.9,71.3,12.3,27.0,34548.96564219061,65.7,60.2,37.7,10.7,15.7749534484399,27.0,35.3,84.3,27.27272727272727,31.4
Liguria,2018,Nord-ovest,7,57.8,67.5,59.3,48.3,60.0,96.8,63.3,57.6,66.0,53.7,65.9,43.6,79.4,60.1,51.9,69.4,33.6,73.5,29.6,12.97508446762826,541.0,3.1,3.2,65.6,18.1,0.5,10.7,0.40843107939961454,20.25392528936883,15.3,2.67,31.9,36.4,12.8,27.3,67.3,35.7,26.5,32153.158895466077,67.3,56.8,39.6,9.5,15.3232737348801,26.5,31.3,83.7,25.0,16.1
Liguria,2019,Nord-ovest,7,60.0,70.1,61.4,50.2,62.7,95.9,68.6,61.2,67.2,53.6,66.3,49.5,81.1,61.0,54.5,73.2,36.2,74.2,29.6,12.14285714285714,538.0,4.8,3.3,63.1,22.0,0.5,9.1,0.3764370484323907,20.252927175245837,18.1,2.79,32.4,35.0,9.7,26.6,68.9,36.4,26.7,32858.291606383675,67.1,58.4,40.9,10.3,14.049301646281,26.7,32.2,83.3,25.0,16.1
