territorio,anno,Contesto|Ambiente,Contesto|Ambiente,Contesto|Abitazione,Contesto|Abitazione,Contesto|Evoluzione digitale,Contesto|Evoluzione digitale,Contesto|Sicurezza e protezione,Contesto|Sicurezza e protezione,Contesto|Violenza contro donne e bambini,Contesto|Violenza contro donne e bambini,Bambini|Salute,Bambini|Salute,Bambini|Istruzione,Bambini|Istruzione,Bambini|Povertà educativa,Bambini|Povertà educativa,Bambini|Capitale umano,Bambini|Capitale umano,Bambini|Capitale economico,Bambini|Capitale economico,Donne|Salute,Donne|Salute,Donne|Educazione,Donne|Educazione,Donne|Opportunità economiche,Donne|Opportunità economiche,Donne|Conciliazione vita-lavoro,Donne|Conciliazione vita-lavoro,Donne|Partecipazione politica,Donne|Partecipazione politica,area,codice_istat
Puglia,2022,71.3,71.3,93.8,93.8,61.1,61.1,66.1,66.1,57.5,57.5,33.9,33.9,53.6,53.6,16.1,16.1,39.3,39.3,42.1,42.1,54.7,54.7,51.1,51.1,14.5,14.5,52.1,52.1,27.0,27.0,Sud,16
Sardegna,2018,78.4,78.4,86.6,86.6,68.4,68.4,62.4,62.4,48.6,48.6,67.2,67.2,54.4,54.4,23.3,23.3,63.5,63.5,44.9,44.9,51.1,51.1,56.1,56.1,32.3,32.3,68.9,68.9,23.7,23.7,Isole,20
Sardegna,2019,81.3,81.3,90.9,90.9,71.0,71.0,64.4,64.4,54.7,54.7,64.7,64.7,54.5,54.5,35.3,35.3,69.5,69.5,45.7,45.7,46.4,46.4,56.1,56.1,36.9,36.9,70.7,70.7,30.7,30.7,Isole,20
Sardegna,2020,82.8,82.8,88.8,88.8,71.6,71.6,71.4,71.4,49.3,49.3,59.6,59.6,54.5,54.5,42.2,42.2,61.3,61.3,43.4,43.4,53.0,53.0,63.8,63.8,36.2,36.2,69.8,69.8,30.7,30.7,Isole,20
Sardegna,2021,82.8,82.8,90.0,90.0,73.9,73.9,72.5,72.5,52.0,52.0,59.6,59.6,48.6,48.6,41.6,41.6,42.9,42.9,45.7,45.7,51.9,51.9,69.5,69.5,34.4,34.4,69.4,69.4,30.7,30.7,Isole,20
Sardegna,2022,82.8,82.8,90.0,90.0,73.9,73.9,72.5,72.5,52.0,52.0,59.6,59.6,50.2,50.2,41.6,41.6,42.9,42.9,45.7,45.7,51.9,51.9,69.5,69.5,34.4,34.4,69.4,69.4,35.2,35.2,Isole,20
Sicilia,2018,75.3,75.3,82.7,82.7,46.8,46.8,55.5,55.5,46.8,46.8,50.9,50.9,48.0,48.0,9.11,9.11,59.2,59.2,39.4,39.4,48.4,48.4,44.4,44.4,21.6,21.6,41.9,41.9,61.0,61.0,Isole,19
Sicilia,2019,79.5,79.5,83.8,83.8,51.4,51.4,59.7,59.7,42.9,42.9,54.0,54.0,47.6,47.6,8.98,8.98,60.0,60.0,39.8,39.8,49.1,49.1,41.4,41.4,22.3,22.3,45.2,45.2,61.0,61.0,Isole,19
Sicilia,2020,81.4,81.4,85.2,85.2,51.6,51.6,63.3,63.3,48.1,48.1,53.2,53.2,47.6,47.6,9.12,9.12,55.4,55.4,38.3,38.3,52.9,52.9,37.4,37.4,20.7,20.7,50.3,50.3,61.0,61.0,Isole,19
Sicilia,2021,81.4,81.4,82.2,82.2,54.7,54.7,66.9,66.9,32.7,32.7,53.2,53.2,44.0,44.0,10.4,10.4,40.3,40.3,39.9,39.9,52.5,52.5,44.0,44.0,19.9,19.9,47.2,47.2,61.0,61.0,Isole,19
Sicilia,2022,81.4,81.4,82.2,82.2,54.7,54.7,66.9,66.9,32.7,32.7,53.2,53.2,43.5,43.5,10.4,10.4,40.3,40.3,39.9,39.9,52.5,52.5,44.0,44.0,19.9,19.9,47.2,47.2,55.3,55.3,Isole,19
Toscana,2018,46.5,46.5,94.6,94.6,71.0,71.0,42.0,42.0,64.1,64.1,56.6,56.6,67.8,67.8,52.2,52.2,82.6,82.6,58.8,58.8,57.3,57.3,66.6,66.6,41.7,41.7,78.8,78.8,52.4,52.4,Centro,9
Toscana,2019,48.9,48.9,95.0,95.0,73.1,73.1,47.6,47.6,73.5,73.5,59.0,59.0,66.8,66.8,54.2,54.2,78.8,78.8,60.6,60.6,54.1,54.1,64.6,64.6,40.9,40.9,79.5,79.5,52.4,52.4,Centro,9
Toscana,2020,53.4,53.4,94.6,94.6,73.9,73.9,63.4,63.4,72.9,72.9,52.2,52.2,66.8,66.8,42.3,42.3,74.4,74.4,55.2,55.2,60.7,60.7,62.1,62.1,39.6,39.6,78.6,78.6,61.1,61.1,Centro,9
Toscana,2021,53.4,53.4,93.9,93.9,76.4,76.4,62.1,62.1,73.4,73.4,52.2,52.2,63.0,63.0,46.1,46.1,53.2,53.2,57.9,57.9,59.4,59.4,69.3,69.3,40.7,40.7,81.8,81.8,61.1,61.1,Centro,9
Toscana,2022,53.4,53.4,93.9,93.9,76.4,76.4,62.1,62.1,73.4,73.4,52.2,52.2,63.0,63.0,46.1,46.1,53.2,53.2,57.9,57.9,59.4,59.4,69.3,69.3,40.7,40.7,81.8,81.8,65.0,65.0,Centro,9
Umbria,2018,57.5,57.5,93.9,93.9,66.0,66.0,42.8,42.8,51.5,51.5,53.5,53.5,70.2,70.2,45.8,45.8,81.4,81.4,49.6,49.6,51.0,51.0,68.9,68.9,37.9,37.9,84.4,84.4,49.8,49.8,Centro,10
Umbria,2019,62.0,62.0,92.5,92.5,70.5,70.5,44.8,44.8,77.6,77.6,54.4,54.4,69.1,69.1,43.7,43.7,81.2,81.2,50.0,50.0,50.6,50.6,72.8,72.8,42.9,42.9,86.9,86.9,70.2,70.2,Centro,10
Umbria,2020,64.0,64.0,93.4,93.4,69.2,69.2,76.9,76.9,77.6,77.6,46.3,46.3,69.1,69.1,34.3,34.3,74.6,74.6,47.1,47.1,60.7,60.7,70.0,70.0,43.4,43.4,84.6,84.6,70.2,70.2,Centro,10
